m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Pål Reinert Bredvei	-0.23981114	-0.04888869	0.4624803	-0.54767907	1.2352614	-0.51911396	0.2406259	1.036865	-2.0214868	0.29390347	0.11008549	0.62328976	-0.38226834	-0.025606895	-0.6588565	-1.2120868	0.3622319	-1.0423421	-0.816595	0.3531741	1.3302063	1.3390783	1.9795939	1.1754274	0.67721295	0.66724175	-0.06662171	-1.0926626	-0.6054494	1.5912954	-1.0095755	0.8826312	1
Ralf Wilfried Baumann	-0.294828	-0.05259901	0.36202088	-0.58828527	1.214789	-0.49831462	0.24295446	1.0126754	-2.0024638	0.25462124	0.13815719	0.61735016	-0.38023895	-0.051624242	-0.69446826	-1.1841868	0.34366438	-1.1750636	-0.83253187	0.40095815	1.3069421	1.337465	1.9915682	1.1972272	0.67220795	0.6555756	-0.066560574	-1.0529375	-0.5806642	1.616873	-1.0762706	0.87863165	1
Eirik Stenberg	-1.5744693	1.0917684	2.0172744	1.0637033	1.4626096	-0.67682827	0.52549165	-0.007732707	-0.54146504	0.072118774	-0.95215726	0.1236157	-0.29690826	-0.15657513	-0.035306584	0.4965791	-0.12177685	1.1095237	-1.7573034	1.3693343	0.56022584	1.3132309	1.1944362	-0.3791875	1.3980722	1.0812012	-0.3227742	-0.03641236	1.2792568	1.0305637	-0.46624398	-0.38409233	1
Morten Bjarne Olsen	-1.5278358	1.109079	2.0070245	1.0616946	1.4664582	-0.668989	0.5533406	-0.05414609	-0.56631136	0.053375963	-0.9517309	0.1545719	-0.2542321	-0.15413451	-0.059647087	0.46640933	-0.10033466	1.1257217	-1.7499369	1.3772299	0.5663837	1.302121	1.180076	-0.41955313	1.3871249	1.0552986	-0.3012026	-0.060669806	1.2149525	1.0206805	-0.35302633	-0.38911778	1
Tommy Sveen	-1.5148613	1.0949613	1.9859698	1.020954	1.4528784	-0.65656936	0.5282979	-0.050510053	-0.5352108	0.028076587	-0.990989	0.16492207	-0.23524497	-0.102568254	-0.1302498	0.480463	-0.09600382	1.0934126	-1.7944187	1.4002048	0.56090146	1.3638264	1.1758883	-0.4410949	1.394759	1.071882	-0.3376474	-0.11592811	1.2165852	1.0528331	-0.39082384	-0.37775087	1
Ellen Solstad	0.0041009923	-0.1386835	-0.31629395	-0.038593415	1.1097137	1.0453678	-1.5534102	0.25272074	-0.85144806	0.62063986	-1.2246526	-0.14695072	-0.14384525	-0.86003417	1.0130879	-0.12715438	0.20922193	-0.74416345	-1.8205416	0.16566132	0.24000654	1.4347765	2.3573756	-0.35276753	0.43046442	-0.26954177	-0.5559919	0.5570524	-0.32570967	0.031611037	-0.7060436	-0.20947431	2
Gudmundur Asgeirsson	-0.003281534	-0.077265605	-0.34590998	-0.15158108	1.1126575	0.9661707	-1.5158458	0.22471789	-0.86864054	0.6178641	-1.247038	-0.15006168	-0.03075608	-0.74992913	1.0131376	-0.12656705	0.14420475	-0.71952254	-1.8735114	0.09374883	0.20354559	1.4322468	2.4057112	-0.3174092	0.39502665	-0.36317065	-0.62809455	0.6556604	-0.33994183	0.11809861	-0.69086796	-0.19135843	1
Hans Inge Balchen Slethei	-0.061316483	-0.157013	-0.38524523	-0.1611191	0.9738251	1.0133573	-1.5669231	0.18968071	-0.8460577	0.6048553	-1.2498747	-0.2192536	-0.08841106	-0.82627577	1.006901	-0.20780876	0.15158455	-0.8143899	-1.9226619	0.047808714	0.21289277	1.5068891	2.3882546	-0.3223397	0.37285712	-0.22757955	-0.56301063	0.48428538	-0.32168838	0.16430163	-0.7425951	-0.23139626	1
Synnøve Seglem	-0.021879375	-0.112188175	-0.32344684	-0.17961606	1.0580639	1.0395161	-1.4435551	0.21848235	-0.8982118	0.6486261	-1.1613274	-0.19140144	-0.14501229	-0.7504061	1.0047643	-0.21030273	0.10478892	-0.6657414	-1.8553094	0.098907895	0.23207329	1.3197641	2.3282022	-0.30511308	0.33782426	-0.31113672	-0.5598331	0.60228765	-0.3550502	0.13729408	-0.6966612	-0.21266122	2
Eivind Grimsø Moe	-0.007928875	-0.012165713	0.27152872	-0.016180685	2.0542393	0.47297078	-0.6499511	-1.447873	-2.0118353	0.63232374	-0.21155484	-0.061944783	-1.327669	-0.6065922	0.5624382	-0.68274796	-1.5866752	-1.1007074	-0.4117437	0.8113556	0.44454882	0.6337901	1.589292	0.01248765	0.6506951	0.7473846	-1.7388722	0.04630163	-0.14764912	-0.03246245	0.2568838	0.2316043	1
